iter	Passed	Remaining
772	5190	1524
773	5196	1517
774	5202	1510
775	5207	1503
776	5213	1496
777	5219	1489
778	5225	1482
779	5231	1475
780	5237	1468
781	5243	1461
782	5248	1454
783	5254	1447
784	5260	1440
785	5266	1433
786	5272	1427
787	5278	1420
788	5284	1413
789	5290	1406
790	5297	1399
791	5303	1392
792	5309	1385
793	5315	1379
794	5322	1372
795	5328	1365
796	5335	1358
797	5341	1352
798	5348	1345
799	5353	1338
800	5360	1331
801	5366	1324
802	5372	1317
803	5378	1311
804	5384	1304
805	5391	1297
806	5397	1290
807	5404	1284
808	5410	1277
809	5417	1270
810	5423	1263
811	5429	1257
812	5436	1250
813	5442	1243
814	5448	1236
815	5455	1230
816	5461	1223
817	5467	1216
818	5473	1209
819	5479	1202
820	5485	1196
821	5492	1189
822	5499	1182
823	5506	1176
824	5513	1169
825	5520	1162
826	5527	1156
827	5533	1149
828	5540	1142
829	5547	1136
830	5553	1129
831	5560	1122
832	5566	1116
833	5573	1109
834	5579	1102
835	5585	1095
836	5592	1089
837	5598	1082
838	5605	1075
839	5611	1068
840	5618	1062
841	5624	1055
842	5631	1048
843	5637	1042
844	5643	1035
845	5651	1028
846	5658	1022
847	5665	1015
848	5672	1008
849	5679	1002
850	5685	995
851	5692	988
852	5699	982
853	5706	975
854	5713	969
855	5720	962
856	5727	955
857	5734	949
858	5741	942
859	5748	935
860	5755	929
861	5762	922
862	5769	915
863	5775	909
864	5782	902
865	5788	895
866	5795	889
867	5802	882
868	5809	875
869	5815	869
870	5822	862
871	5828	855
872	5835	848
873	5841	842
874	5847	835
875	5853	828
876	5860	821
877	5866	815
878	5873	808
879	5880	801
880	5886	795
881	5893	788
882	5899	781
883	5906	775
884	5913	768
885	5920	761
886	5926	755
887	5933	748
888	5939	741
889	5946	734
890	5953	728
891	5960	721
892	5966	714
893	5973	708
894	5980	701
895	5986	694
896	5993	688
897	6000	681
898	6007	674
899	6013	668
900	6020	661
901	6026	654
902	6032	648
903	6039	641
904	6046	634
905	6052	627
906	6059	621
907	6065	614
908	6071	607
909	6077	601
910	6083	594
911	6089	587
912	6096	580
913	6103	574
914	6110	567
915	6116	560
916	6123	554
917	6129	547
918	6136	540
919	6142	534
920	6149	527
921	6155	520
922	6161	514
923	6168	507
924	6174	500
925	6180	493
926	6186	487
927	6193	480
928	6199	473
929	6206	467
930	6212	460
931	6218	453
932	6225	447
933	6231	440
934	6238	433
935	6244	426
936	6251	420
937	6257	413
938	6264	406
939	6270	400
940	6276	393
941	6283	386
942	6289	380
943	6295	373
944	6301	366
945	6307	360
946	6314	353
947	6321	346
948	6327	340
949	6334	333
950	6341	326
951	6347	320
952	6354	313
953	6361	306
954	6367	300
955	6374	293
956	6381	286
957	6387	280
958	6394	273
959	6400	266
960	6406	259
961	6413	253
962	6419	246
963	6426	239
964	6432	233
965	6438	226
966	6445	219
967	6452	213
968	6458	206
969	6465	199
970	6472	193
971	6479	186
972	6486	179
973	6492	173
974	6498	166
975	6506	159
976	6512	153
977	6518	146
978	6525	139
979	6531	133
980	6538	126
981	6545	119
982	6552	113
983	6558	106
984	6565	99
985	6572	93
986	6578	86
987	6585	79
988	6591	73
989	6598	66
990	6605	59
991	6611	53
992	6618	46
993	6625	39
994	6631	33
995	6638	26
996	6645	19
997	6651	13
998	6658	6
999	6664	0
